"Step","vanilla_1__vanilla_aug - mean_total_symmetry","vanilla_1__vanilla_aug - mean_total_symmetry__MIN","vanilla_1__vanilla_aug - mean_total_symmetry__MAX","vanilla_1__resnet_aug_01lr - mean_total_symmetry","vanilla_1__resnet_aug_01lr - mean_total_symmetry__MIN","vanilla_1__resnet_aug_01lr - mean_total_symmetry__MAX"
"0","0.48615019023418427","0.48615019023418427","0.48615019023418427","0.48615019023418427","0.48615019023418427","0.48615019023418427"
"198","0.6534946084022522","0.6534946084022522","0.6534946084022522","0.6480301201343537","0.6480301201343537","0.6480301201343537"
"396","0.6202195852994918","0.6202195852994918","0.6202195852994918","0.6405209004878998","0.6405209004878998","0.6405209004878998"
"594","0.5810414731502533","0.5810414731502533","0.5810414731502533","0.6535254925489425","0.6535254925489425","0.6535254925489425"
"792","0.5702337712049484","0.5702337712049484","0.5702337712049484","0.6654320865869522","0.6654320865869522","0.6654320865869522"
"990","0.5782779574394226","0.5782779574394226","0.5782779574394226","0.6625301390886307","0.6625301390886307","0.6625301390886307"
"1188","0.5867236077785491","0.5867236077785491","0.5867236077785491","0.6801499933004379","0.6801499933004379","0.6801499933004379"
"1386","0.6025166600942612","0.6025166600942612","0.6025166600942612","0.690621966123581","0.690621966123581","0.690621966123581"
"1584","0.6124736249446869","0.6124736249446869","0.6124736249446869","0.6968658953905106","0.6968658953905106","0.6968658953905106"
"1782","0.6400685667991638","0.6400685667991638","0.6400685667991638","0.7010840266942978","0.7010840266942978","0.7010840266942978"
"1980","0.642560613155365","0.642560613155365","0.642560613155365","0.7071532815694809","0.7071532815694809","0.7071532815694809"
"2178","0.6391987860202789","0.6391987860202789","0.6391987860202789","0.7137667447328567","0.7137667447328567","0.7137667447328567"
"2376","0.6536942034959793","0.6536942034959793","0.6536942034959793","0.7209150403738022","0.7209150403738022","0.7209150403738022"
"2574","0.656513798236847","0.656513798236847","0.656513798236847","0.7215804934501648","0.7215804934501648","0.7215804934501648"
"2772","0.6592019468545913","0.6592019468545913","0.6592019468545913","0.7253567785024643","0.7253567785024643","0.7253567785024643"
"2970","0.6589410811662674","0.6589410811662674","0.6589410811662674","0.7327072262763977","0.7327072262763977","0.7327072262763977"
"3168","0.6586628079414367","0.6586628079414367","0.6586628079414367","0.7360608667135239","0.7360608667135239","0.7360608667135239"
"3366","0.6640081733465195","0.6640081733465195","0.6640081733465195","0.7409632831811905","0.7409632831811905","0.7409632831811905"
"3564","0.6621499210596085","0.6621499210596085","0.6621499210596085","0.7395074725151062","0.7395074725151062","0.7395074725151062"
"3762","0.6657453179359436","0.6657453179359436","0.6657453179359436","0.7452695846557618","0.7452695846557618","0.7452695846557618"
"3960","0.6652469247579574","0.6652469247579574","0.6652469247579574","0.7507285565137863","0.7507285565137863","0.7507285565137863"
"4158","0.6743637949228287","0.6743637949228287","0.6743637949228287","0.7560800045728684","0.7560800045728684","0.7560800045728684"
"4356","0.6759755611419678","0.6759755611419678","0.6759755611419678","0.756249850988388","0.756249850988388","0.756249850988388"
"4554","0.6781784296035767","0.6781784296035767","0.6781784296035767","0.7548508763313293","0.7548508763313293","0.7548508763313293"
"4752","0.6800990492105484","0.6800990492105484","0.6800990492105484","0.7619588255882264","0.7619588255882264","0.7619588255882264"
"4950","0.6800370395183564","0.6800370395183564","0.6800370395183564","0.7683630913496018","0.7683630913496018","0.7683630913496018"
"5148","0.6842836558818817","0.6842836558818817","0.6842836558818817","0.7688642561435699","0.7688642561435699","0.7688642561435699"
"5346","0.6825160950422287","0.6825160950422287","0.6825160950422287","0.7735047996044159","0.7735047996044159","0.7735047996044159"
"5544","0.6855110257863999","0.6855110257863999","0.6855110257863999","0.7757843673229218","0.7757843673229218","0.7757843673229218"
"5742","0.6849279940128327","0.6849279940128327","0.6849279940128327","0.7779793202877044","0.7779793202877044","0.7779793202877044"
"5940","0.687030041217804","0.687030041217804","0.687030041217804","0.7792134582996368","0.7792134582996368","0.7792134582996368"
"6138","0.6918307900428772","0.6918307900428772","0.6918307900428772","0.7833596915006638","0.7833596915006638","0.7833596915006638"
"6336","0.693170553445816","0.693170553445816","0.693170553445816","0.7833703368902206","0.7833703368902206","0.7833703368902206"
"6534","0.6956034660339355","0.6956034660339355","0.6956034660339355","0.7843381226062774","0.7843381226062774","0.7843381226062774"
"6732","0.6946385592222214","0.6946385592222214","0.6946385592222214","0.7864329397678376","0.7864329397678376","0.7864329397678376"
"6930","0.6990100532770157","0.6990100532770157","0.6990100532770157","0.7888607442378998","0.7888607442378998","0.7888607442378998"
"7128","0.7029778778553009","0.7029778778553009","0.7029778778553009","0.7935489505529404","0.7935489505529404","0.7935489505529404"
"7326","0.7028740614652633","0.7028740614652633","0.7028740614652633","0.7950622826814652","0.7950622826814652","0.7950622826814652"
"7524","0.7025535047054291","0.7025535047054291","0.7025535047054291","0.7933418929576874","0.7933418929576874","0.7933418929576874"
"7722","0.7054708302021027","0.7054708302021027","0.7054708302021027","0.7964126974344253","0.7964126974344253","0.7964126974344253"
"7920","0.707402428984642","0.707402428984642","0.707402428984642","0.8026376724243164","0.8026376724243164","0.8026376724243164"
"8118","0.7072240501642227","0.7072240501642227","0.7072240501642227","0.8030497044324875","0.8030497044324875","0.8030497044324875"
