"Step","vanilla_1__vanilla_aug - horizontal","vanilla_1__vanilla_aug - horizontal__MIN","vanilla_1__vanilla_aug - horizontal__MAX","vanilla_1__resnet_aug_01lr - horizontal","vanilla_1__resnet_aug_01lr - horizontal__MIN","vanilla_1__resnet_aug_01lr - horizontal__MAX"
"0","0.5088711380958557","0.5088711380958557","0.5088711380958557","0.5088711380958557","0.5088711380958557","0.5088711380958557"
"198","0.5649400383234024","0.5649400383234024","0.5649400383234024","0.5494870990514755","0.5494870990514755","0.5494870990514755"
"396","0.5651097387075424","0.5651097387075424","0.5651097387075424","0.5528025269508362","0.5528025269508362","0.5528025269508362"
"594","0.5651414662599563","0.5651414662599563","0.5651414662599563","0.5563852220773697","0.5563852220773697","0.5563852220773697"
"792","0.5650431096553803","0.5650431096553803","0.5650431096553803","0.5579708606004715","0.5579708606004715","0.5579708606004715"
"990","0.5651250392198562","0.5651250392198562","0.5651250392198562","0.5606420874595642","0.5606420874595642","0.5606420874595642"
"1188","0.564867177605629","0.564867177605629","0.564867177605629","0.5614484548568726","0.5614484548568726","0.5614484548568726"
"1386","0.5645880430936814","0.5645880430936814","0.5645880430936814","0.5627103984355927","0.5627103984355927","0.5627103984355927"
"1584","0.5642837345600128","0.5642837345600128","0.5642837345600128","0.5630754083395004","0.5630754083395004","0.5630754083395004"
"1782","0.5642766803503036","0.5642766803503036","0.5642766803503036","0.5637866884469986","0.5637866884469986","0.5637866884469986"
"1980","0.5631952702999115","0.5631952702999115","0.5631952702999115","0.5648824006319046","0.5648824006319046","0.5648824006319046"
"2178","0.5629711031913758","0.5629711031913758","0.5629711031913758","0.5647897630929947","0.5647897630929947","0.5647897630929947"
"2376","0.5624968588352204","0.5624968588352204","0.5624968588352204","0.5655378013849258","0.5655378013849258","0.5655378013849258"
"2574","0.5627179950475693","0.5627179950475693","0.5627179950475693","0.5665823757648468","0.5665823757648468","0.5665823757648468"
"2772","0.5619319140911102","0.5619319140911102","0.5619319140911102","0.5666716635227204","0.5666716635227204","0.5666716635227204"
"2970","0.5621251553297043","0.5621251553297043","0.5621251553297043","0.5660636872053146","0.5660636872053146","0.5660636872053146"
"3168","0.5616988599300384","0.5616988599300384","0.5616988599300384","0.5664788156747818","0.5664788156747818","0.5664788156747818"
"3366","0.5615171968936921","0.5615171968936921","0.5615171968936921","0.567155721783638","0.567155721783638","0.567155721783638"
"3564","0.5613986641168595","0.5613986641168595","0.5613986641168595","0.567040428519249","0.567040428519249","0.567040428519249"
"3762","0.5607196867465973","0.5607196867465973","0.5607196867465973","0.5672132164239884","0.5672132164239884","0.5672132164239884"
"3960","0.5606726348400116","0.5606726348400116","0.5606726348400116","0.5674992114305496","0.5674992114305496","0.5674992114305496"
"4158","0.5606678307056427","0.5606678307056427","0.5606678307056427","0.5679024815559387","0.5679024815559387","0.5679024815559387"
"4356","0.5605836063623428","0.5605836063623428","0.5605836063623428","0.5679774463176728","0.5679774463176728","0.5679774463176728"
"4554","0.5604239761829376","0.5604239761829376","0.5604239761829376","0.5679768651723862","0.5679768651723862","0.5679768651723862"
"4752","0.5600607037544251","0.5600607037544251","0.5600607037544251","0.5682730972766876","0.5682730972766876","0.5682730972766876"
"4950","0.5596433877944946","0.5596433877944946","0.5596433877944946","0.5684860914945602","0.5684860914945602","0.5684860914945602"
"5148","0.5595261007547379","0.5595261007547379","0.5595261007547379","0.568841016292572","0.568841016292572","0.568841016292572"
"5346","0.5598574757575989","0.5598574757575989","0.5598574757575989","0.5687702119350433","0.5687702119350433","0.5687702119350433"
