"Step","vanilla_1__vanilla_aug - vertical","vanilla_1__vanilla_aug - vertical__MIN","vanilla_1__vanilla_aug - vertical__MAX","vanilla_1__resnet_aug_01lr - vertical","vanilla_1__resnet_aug_01lr - vertical__MIN","vanilla_1__resnet_aug_01lr - vertical__MAX"
"0","0.5099403470754623","0.5099403470754623","0.5099403470754623","0.5099403470754623","0.5099403470754623","0.5099403470754623"
"198","0.5512599557638168","0.5512599557638168","0.5512599557638168","0.5424323678016663","0.5424323678016663","0.5424323678016663"
"396","0.549539890885353","0.549539890885353","0.549539890885353","0.5411011427640915","0.5411011427640915","0.5411011427640915"
"594","0.5476185321807862","0.5476185321807862","0.5476185321807862","0.5389416217803955","0.5389416217803955","0.5389416217803955"
"792","0.5458937972784043","0.5458937972784043","0.5458937972784043","0.539169329404831","0.539169329404831","0.539169329404831"
"990","0.5450889289379119","0.5450889289379119","0.5450889289379119","0.5398010820150375","0.5398010820150375","0.5398010820150375"
"1188","0.5440749555826188","0.5440749555826188","0.5440749555826188","0.5398075580596924","0.5398075580596924","0.5398075580596924"
"1386","0.5433113247156143","0.5433113247156143","0.5433113247156143","0.5401898831129074","0.5401898831129074","0.5401898831129074"
"1584","0.5423393309116363","0.5423393309116363","0.5423393309116363","0.5404091060161591","0.5404091060161591","0.5404091060161591"
"1782","0.5413827478885651","0.5413827478885651","0.5413827478885651","0.5408825099468231","0.5408825099468231","0.5408825099468231"
"1980","0.540594682097435","0.540594682097435","0.540594682097435","0.5408574521541596","0.5408574521541596","0.5408574521541596"
"2178","0.5403898239135743","0.5403898239135743","0.5403898239135743","0.5409846276044845","0.5409846276044845","0.5409846276044845"
"2376","0.5403020203113555","0.5403020203113555","0.5403020203113555","0.5409472286701202","0.5409472286701202","0.5409472286701202"
"2574","0.5399373590946197","0.5399373590946197","0.5399373590946197","0.5408395558595658","0.5408395558595658","0.5408395558595658"
"2772","0.5396058797836304","0.5396058797836304","0.5396058797836304","0.5410866051912308","0.5410866051912308","0.5410866051912308"
"2970","0.5395006954669952","0.5395006954669952","0.5395006954669952","0.5410737842321396","0.5410737842321396","0.5410737842321396"
"3168","0.5394857376813889","0.5394857376813889","0.5394857376813889","0.5415591597557068","0.5415591597557068","0.5415591597557068"
"3366","0.5392888009548187","0.5392888009548187","0.5392888009548187","0.54133240878582","0.54133240878582","0.54133240878582"
"3564","0.5392137110233307","0.5392137110233307","0.5392137110233307","0.5413232058286667","0.5413232058286667","0.5413232058286667"
