"Step","vanilla_1__vanilla_aug - horizontal-vertical","vanilla_1__vanilla_aug - horizontal-vertical__MIN","vanilla_1__vanilla_aug - horizontal-vertical__MAX","vanilla_1__resnet_aug_01lr - horizontal-vertical","vanilla_1__resnet_aug_01lr - horizontal-vertical__MIN","vanilla_1__resnet_aug_01lr - horizontal-vertical__MAX"
"0","0.5094057530164718","0.5094057530164718","0.5094057530164718","0.5094057530164718","0.5094057530164718","0.5094057530164718"
"198","0.5580999940633774","0.5580999940633774","0.5580999940633774","0.5459597319364548","0.5459597319364548","0.5459597319364548"
"396","0.5573248147964478","0.5573248147964478","0.5573248147964478","0.5469518363475799","0.5469518363475799","0.5469518363475799"
"594","0.5563799977302551","0.5563799977302551","0.5563799977302551","0.5476634293794632","0.5476634293794632","0.5476634293794632"
"792","0.5554684609174728","0.5554684609174728","0.5554684609174728","0.5485700994729996","0.5485700994729996","0.5485700994729996"
"990","0.5551069855690003","0.5551069855690003","0.5551069855690003","0.550221586227417","0.550221586227417","0.550221586227417"
"1188","0.5544710576534271","0.5544710576534271","0.5544710576534271","0.5506280064582825","0.5506280064582825","0.5506280064582825"
"1386","0.5539496779441834","0.5539496779441834","0.5539496779441834","0.5514501363039017","0.5514501363039017","0.5514501363039017"
"1584","0.5533115357160568","0.5533115357160568","0.5533115357160568","0.5517422616481781","0.5517422616481781","0.5517422616481781"
"1782","0.5528297126293182","0.5528297126293182","0.5528297126293182","0.5523345977067947","0.5523345977067947","0.5523345977067947"
"1980","0.5518949776887894","0.5518949776887894","0.5518949776887894","0.5528699189424515","0.5528699189424515","0.5528699189424515"
"2178","0.5516804605722427","0.5516804605722427","0.5516804605722427","0.5528871983289718","0.5528871983289718","0.5528871983289718"
"2376","0.5513994455337524","0.5513994455337524","0.5513994455337524","0.5532425165176391","0.5532425165176391","0.5532425165176391"
"2574","0.5513276755809784","0.5513276755809784","0.5513276755809784","0.5537109583616256","0.5537109583616256","0.5537109583616256"
"2772","0.5507688999176026","0.5507688999176026","0.5507688999176026","0.5538791298866272","0.5538791298866272","0.5538791298866272"
"2970","0.5508129239082337","0.5508129239082337","0.5508129239082337","0.5535687357187271","0.5535687357187271","0.5535687357187271"
"3168","0.5505922883749008","0.5505922883749008","0.5505922883749008","0.5540189862251281","0.5540189862251281","0.5540189862251281"
"3366","0.5504030078649521","0.5504030078649521","0.5504030078649521","0.5542440682649612","0.5542440682649612","0.5542440682649612"
"3564","0.55030617415905","0.55030617415905","0.55030617415905","0.55418182015419","0.55418182015419","0.55418182015419"
"3762","0.5500142306089402","0.5500142306089402","0.5500142306089402","0.554160338640213","0.554160338640213","0.554160338640213"
"3960","0.550039428472519","0.550039428472519","0.550039428472519","0.5540707021951675","0.5540707021951675","0.5540707021951675"
"4158","0.5500160425901413","0.5500160425901413","0.5500160425901413","0.5543294668197631","0.5543294668197631","0.5543294668197631"
"4356","0.5497050732374191","0.5497050732374191","0.5497050732374191","0.5543468326330185","0.5543468326330185","0.5543468326330185"
"4554","0.5495570927858353","0.5495570927858353","0.5495570927858353","0.5541716754436493","0.5541716754436493","0.5541716754436493"
"4752","0.5495343655347824","0.5495343655347824","0.5495343655347824","0.5545126855373382","0.5545126855373382","0.5545126855373382"
"4950","0.5493998229503632","0.5493998229503632","0.5493998229503632","0.554344117641449","0.554344117641449","0.554344117641449"
"5148","0.5490627199411392","0.5490627199411392","0.5490627199411392","0.5544743716716767","0.5544743716716767","0.5544743716716767"
"5346","0.5491388976573944","0.5491388976573944","0.5491388976573944","0.5543549329042434","0.5543549329042434","0.5543549329042434"
"5544","0.5489487230777741","0.5489487230777741","0.5489487230777741","0.5544877558946609","0.5544877558946609","0.5544877558946609"
"5742","0.5488959014415741","0.5488959014415741","0.5488959014415741","0.5545027047395706","0.5545027047395706","0.5545027047395706"
"5940","0.548736909031868","0.548736909031868","0.548736909031868","0.5544764041900635","0.5544764041900635","0.5544764041900635"
"6138","0.5487951517105103","0.5487951517105103","0.5487951517105103","0.5547936826944351","0.5547936826944351","0.5547936826944351"
"6336","0.5486106812953949","0.5486106812953949","0.5486106812953949","0.554736515879631","0.554736515879631","0.554736515879631"
"6534","0.548095166683197","0.548095166683197","0.548095166683197","0.5546365946531295","0.5546365946531295","0.5546365946531295"
"6732","0.5483209431171417","0.5483209431171417","0.5483209431171417","0.5545871704816818","0.5545871704816818","0.5545871704816818"
"6930","0.5484674900770188","0.5484674900770188","0.5484674900770188","0.5544700056314469","0.5544700056314469","0.5544700056314469"
"7128","0.548050194978714","0.548050194978714","0.548050194978714","0.5545558303594589","0.5545558303594589","0.5545558303594589"
"7326","0.5478977292776108","0.5478977292776108","0.5478977292776108","0.5546785056591034","0.5546785056591034","0.5546785056591034"
"7524","0.5477689415216446","0.5477689415216446","0.5477689415216446","0.5547101676464081","0.5547101676464081","0.5547101676464081"
