"Step","vanilla_1__vanilla_aug - total_symmetry","vanilla_1__vanilla_aug - total_symmetry__MIN","vanilla_1__vanilla_aug - total_symmetry__MAX","vanilla_1__resnet_aug_01lr - total_symmetry","vanilla_1__resnet_aug_01lr - total_symmetry__MIN","vanilla_1__resnet_aug_01lr - total_symmetry__MAX"
"3366","0.5185371547937393","0.5185371547937393","0.5185371547937393","0.5223324745893478","0.5223324745893478","0.5223324745893478"
"3564","0.5185133904218674","0.5185133904218674","0.5185133904218674","0.5224501669406891","0.5224501669406891","0.5224501669406891"
"3762","0.5183157593011856","0.5183157593011856","0.5183157593011856","0.5225398391485214","0.5225398391485214","0.5225398391485214"
"3960","0.518366864323616","0.518366864323616","0.518366864323616","0.5224873542785644","0.5224873542785644","0.5224873542785644"
"4158","0.5182903110980988","0.5182903110980988","0.5182903110980988","0.5227465063333512","0.5227465063333512","0.5227465063333512"
"4356","0.5180824786424637","0.5180824786424637","0.5180824786424637","0.5229291617870331","0.5229291617870331","0.5229291617870331"
"4554","0.5179299205541611","0.5179299205541611","0.5179299205541611","0.5228379487991333","0.5228379487991333","0.5228379487991333"
"4752","0.5178738534450531","0.5178738534450531","0.5178738534450531","0.5231400817632675","0.5231400817632675","0.5231400817632675"
"4950","0.5178106456995011","0.5178106456995011","0.5178106456995011","0.5228809207677841","0.5228809207677841","0.5228809207677841"
"5148","0.5175311177968979","0.5175311177968979","0.5175311177968979","0.523056349158287","0.523056349158287","0.523056349158287"
"5346","0.5175212919712067","0.5175212919712067","0.5175212919712067","0.5230249106884003","0.5230249106884003","0.5230249106884003"
"5544","0.5173826843500138","0.5173826843500138","0.5173826843500138","0.5231714814901351","0.5231714814901351","0.5231714814901351"
"5742","0.5173553258180619","0.5173553258180619","0.5173553258180619","0.5232357263565064","0.5232357263565064","0.5232357263565064"
"5940","0.5171902924776077","0.5171902924776077","0.5171902924776077","0.5233367323875427","0.5233367323875427","0.5233367323875427"
"6138","0.5173041641712188","0.5173041641712188","0.5173041641712188","0.5237415611743927","0.5237415611743927","0.5237415611743927"
"6336","0.5171072006225585","0.5171072006225585","0.5171072006225585","0.5236969321966172","0.5236969321966172","0.5236969321966172"
"6534","0.5166821211576462","0.5166821211576462","0.5166821211576462","0.5236897110939026","0.5236897110939026","0.5236897110939026"
"6732","0.5168355256319046","0.5168355256319046","0.5168355256319046","0.5236459076404572","0.5236459076404572","0.5236459076404572"
"6930","0.5169507741928101","0.5169507741928101","0.5169507741928101","0.5236825048923492","0.5236825048923492","0.5236825048923492"
"7128","0.5166022300720214","0.5166022300720214","0.5166022300720214","0.5237962543964386","0.5237962543964386","0.5237962543964386"
"7326","0.5164382189512253","0.5164382189512253","0.5164382189512253","0.524018183350563","0.524018183350563","0.524018183350563"
"7524","0.5162917286157608","0.5162917286157608","0.5162917286157608","0.524005588889122","0.524005588889122","0.524005588889122"
"7722","0.516287910938263","0.516287910938263","0.516287910938263","0.5240749806165695","0.5240749806165695","0.5240749806165695"
"7920","0.5161431580781937","0.5161431580781937","0.5161431580781937","0.5242790758609772","0.5242790758609772","0.5242790758609772"
"8118","0.5161506861448288","0.5161506861448288","0.5161506861448288","0.5242723375558853","0.5242723375558853","0.5242723375558853"
"8316","0.5161546379327774","0.5161546379327774","0.5161546379327774","0.5243069291114807","0.5243069291114807","0.5243069291114807"
"8514","0.5161582469940186","0.5161582469940186","0.5161582469940186","0.5243554919958114","0.5243554919958114","0.5243554919958114"
"8712","0.5161611765623093","0.5161611765623093","0.5161611765623093","0.5243845880031586","0.5243845880031586","0.5243845880031586"
"8910","0.516163882613182","0.516163882613182","0.516163882613182","0.5244239211082459","0.5244239211082459","0.5244239211082459"
"9108","0.5161675482988357","0.5161675482988357","0.5161675482988357","0.5244656205177307","0.5244656205177307","0.5244656205177307"
"9306","0.5161690920591354","0.5161690920591354","0.5161690920591354","0.5244932621717453","0.5244932621717453","0.5244932621717453"
"9504","0.5161706358194351","0.5161706358194351","0.5161706358194351","0.5245089441537857","0.5245089441537857","0.5245089441537857"
"9702","0.5161726742982864","0.5161726742982864","0.5161726742982864","0.5245428919792176","0.5245428919792176","0.5245428919792176"
"9900","0.5161725580692291","0.5161725580692291","0.5161725580692291","0.5245772212743759","0.5245772212743759","0.5245772212743759"
"10098","0.5161745846271515","0.5161745846271515","0.5161745846271515","0.5246075958013534","0.5246075958013534","0.5246075958013534"
"10296","0.5161766976118087","0.5161766976118087","0.5161766976118087","0.5246305108070374","0.5246305108070374","0.5246305108070374"
"10494","0.516178959608078","0.516178959608078","0.516178959608078","0.5246616899967194","0.5246616899967194","0.5246616899967194"
"10692","0.5161818444728852","0.5161818444728852","0.5161818444728852","0.5246801972389221","0.5246801972389221","0.5246801972389221"
"10890","0.516183602809906","0.516183602809906","0.516183602809906","0.5247095197439193","0.5247095197439193","0.5247095197439193"
"11088","0.5161859363317489","0.5161859363317489","0.5161859363317489","0.5247376739978791","0.5247376739978791","0.5247376739978791"
"11286","0.5161885917186737","0.5161885917186737","0.5161885917186737","0.5247582823038102","0.5247582823038102","0.5247582823038102"
"11484","0.5161910444498062","0.5161910444498062","0.5161910444498062","0.5247900724411011","0.5247900724411011","0.5247900724411011"
"11682","0.516193151473999","0.516193151473999","0.516193151473999","0.5248064756393432","0.5248064756393432","0.5248064756393432"
"11880","0.5161945819854736","0.5161945819854736","0.5161945819854736","0.5248340547084809","0.5248340547084809","0.5248340547084809"
"12078","0.516196095943451","0.516196095943451","0.516196095943451","0.5248626470565796","0.5248626470565796","0.5248626470565796"
"12276","0.5161976426839828","0.5161976426839828","0.5161976426839828","0.5248697578907013","0.5248697578907013","0.5248697578907013"
"12474","0.516199454665184","0.516199454665184","0.516199454665184","0.5248827338218689","0.5248827338218689","0.5248827338218689"
"12672","0.5162013173103333","0.5162013173103333","0.5162013173103333","0.5248983532190323","0.5248983532190323","0.5248983532190323"
"12870","0.5162025034427643","0.5162025034427643","0.5162025034427643","0.5249081045389176","0.5249081045389176","0.5249081045389176"
"13068","0.5162053555250168","0.5162053555250168","0.5162053555250168","0.5249178737401963","0.5249178737401963","0.5249178737401963"
"13266","0.5162072509527207","0.5162072509527207","0.5162072509527207","0.524929141998291","0.524929141998291","0.524929141998291"
"13464","0.5162092089653015","0.5162092089653015","0.5162092089653015","0.5249410390853881","0.5249410390853881","0.5249410390853881"
"13662","0.5162106812000274","0.5162106812000274","0.5162106812000274","0.5249440670013428","0.5249440670013428","0.5249440670013428"
"13860","0.5162127166986465","0.5162127166986465","0.5162127166986465","0.5249670952558517","0.5249670952558517","0.5249670952558517"
"14058","0.516214519739151","0.516214519739151","0.516214519739151","0.5249899983406067","0.5249899983406067","0.5249899983406067"
"14256","0.5162161469459534","0.5162161469459534","0.5162161469459534","0.5250072926282883","0.5250072926282883","0.5250072926282883"
"14454","0.5162180721759796","0.5162180721759796","0.5162180721759796","0.5250260412693024","0.5250260412693024","0.5250260412693024"
"14652","0.5162196457386017","0.5162196457386017","0.5162196457386017","0.5250385880470276","0.5250385880470276","0.5250385880470276"
"14850","0.516220647096634","0.516220647096634","0.516220647096634","0.5250716239213944","0.5250716239213944","0.5250716239213944"
"15048","0.5162225306034088","0.5162225306034088","0.5162225306034088","0.525070708990097","0.525070708990097","0.525070708990097"
"15246","0.5162238448858261","0.5162238448858261","0.5162238448858261","0.5250899732112885","0.5250899732112885","0.5250899732112885"
"15444","0.5162253141403198","0.5162253141403198","0.5162253141403198","0.5251017540693284","0.5251017540693284","0.5251017540693284"
"15642","0.5162270307540894","0.5162270307540894","0.5162270307540894","0.525121483206749","0.525121483206749","0.525121483206749"
"15840","0.5162282705307006","0.5162282705307006","0.5162282705307006","0.5251290827989579","0.5251290827989579","0.5251290827989579"
"16038","0.5162283807992936","0.5162283807992936","0.5162283807992936","0.525130245089531","0.525130245089531","0.525130245089531"
"16236","0.5162285923957824","0.5162285923957824","0.5162285923957824","0.5251325398683548","0.5251325398683548","0.5251325398683548"
"16434","0.5162287652492523","0.5162287652492523","0.5162287652492523","0.5251341909170151","0.5251341909170151","0.5251341909170151"
"16632","0.5162288993597031","0.5162288993597031","0.5162288993597031","0.5251347094774246","0.5251347094774246","0.5251347094774246"
"16830","0.5162290751934051","0.5162290751934051","0.5162290751934051","0.5251373678445816","0.5251373678445816","0.5251373678445816"
"17028","0.5162292510271073","0.5162292510271073","0.5162292510271073","0.5251383066177369","0.5251383066177369","0.5251383066177369"
"17226","0.5162294775247573","0.5162294775247573","0.5162294775247573","0.5251403242349625","0.5251403242349625","0.5251403242349625"
"17424","0.5162296950817108","0.5162296950817108","0.5162296950817108","0.5251406520605088","0.5251406520605088","0.5251406520605088"
"17622","0.5162298887968063","0.5162298887968063","0.5162298887968063","0.5251432210206985","0.5251432210206985","0.5251432210206985"
"17820","0.5162300497293473","0.5162300497293473","0.5162300497293473","0.5251436769962311","0.5251436769962311","0.5251436769962311"
"18018","0.5162302255630493","0.5162302255630493","0.5162302255630493","0.5251451909542084","0.5251451909542084","0.5251451909542084"
"18216","0.5162304103374481","0.5162304103374481","0.5162304103374481","0.5251458913087845","0.5251458913087845","0.5251458913087845"
"18414","0.5162306308746338","0.5162306308746338","0.5162306308746338","0.5251483052968979","0.5251483052968979","0.5251483052968979"
"18612","0.5162308096885682","0.5162308096885682","0.5162308096885682","0.5251492977142334","0.5251492977142334","0.5251492977142334"
"18810","0.5162310302257538","0.5162310302257538","0.5162310302257538","0.5251498311758042","0.5251498311758042","0.5251498311758042"
"19008","0.5162311673164368","0.5162311673164368","0.5162311673164368","0.5251504242420196","0.5251504242420196","0.5251504242420196"
"19206","0.5162312775850296","0.5162312775850296","0.5162312775850296","0.525152000784874","0.525152000784874","0.525152000784874"
"19404","0.5162315011024475","0.5162315011024475","0.5162315011024475","0.5251551568508148","0.5251551568508148","0.5251551568508148"
"19602","0.5162316650152207","0.5162316650152207","0.5162316650152207","0.525155907869339","0.525155907869339","0.525155907869339"
