"Step","vanilla_1__vanilla_aug - total_symmetry","vanilla_1__vanilla_aug - total_symmetry__MIN","vanilla_1__vanilla_aug - total_symmetry__MAX","vanilla_1__resnet_aug_01lr - total_symmetry","vanilla_1__resnet_aug_01lr - total_symmetry__MIN","vanilla_1__resnet_aug_01lr - total_symmetry__MAX"
"0","0.4764606893062592","0.4764606893062592","0.4764606893062592","0.4764606893062592","0.4764606893062592","0.4764606893062592"
"198","0.5269726037979126","0.5269726037979126","0.5269726037979126","0.5137005060911178","0.5137005060911178","0.5137005060911178"
"396","0.5250926911830902","0.5250926911830902","0.5250926911830902","0.5142992258071899","0.5142992258071899","0.5142992258071899"
"594","0.5242773175239563","0.5242773175239563","0.5242773175239563","0.5154065310955047","0.5154065310955047","0.5154065310955047"
"792","0.5237167596817016","0.5237167596817016","0.5237167596817016","0.5163528889417648","0.5163528889417648","0.5163528889417648"
"990","0.5233839720487594","0.5233839720487594","0.5233839720487594","0.5177251815795898","0.5177251815795898","0.5177251815795898"
"1188","0.522632846236229","0.522632846236229","0.522632846236229","0.5180339962244034","0.5180339962244034","0.5180339962244034"
"1386","0.5221307039260864","0.5221307039260864","0.5221307039260864","0.5187703788280487","0.5187703788280487","0.5187703788280487"
"1584","0.5213789403438568","0.5213789403438568","0.5213789403438568","0.5189898759126663","0.5189898759126663","0.5189898759126663"
"1782","0.5207565933465957","0.5207565933465957","0.5207565933465957","0.519678384065628","0.519678384065628","0.519678384065628"
"1980","0.5199999809265137","0.5199999809265137","0.5199999809265137","0.5201923847198486","0.5201923847198486","0.5201923847198486"
"2178","0.519657838344574","0.519657838344574","0.519657838344574","0.5203315109014511","0.5203315109014511","0.5203315109014511"
"2376","0.5194395810365677","0.5194395810365677","0.5194395810365677","0.5207390457391738","0.5207390457391738","0.5207390457391738"
"2574","0.5192878425121308","0.5192878425121308","0.5192878425121308","0.5213840663433075","0.5213840663433075","0.5213840663433075"
"2772","0.5188315868377685","0.5188315868377685","0.5188315868377685","0.5216039150953293","0.5216039150953293","0.5216039150953293"
"2970","0.5188311010599136","0.5188311010599136","0.5188311010599136","0.5215675979852676","0.5215675979852676","0.5215675979852676"
"3168","0.5186637252569198","0.5186637252569198","0.5186637252569198","0.5219794273376465","0.5219794273376465","0.5219794273376465"
