"Step","vanilla_1__vanilla_aug - rot90","vanilla_1__vanilla_aug - rot90__MIN","vanilla_1__vanilla_aug - rot90__MAX","vanilla_1__resnet_aug_01lr - rot90","vanilla_1__resnet_aug_01lr - rot90__MIN","vanilla_1__resnet_aug_01lr - rot90__MAX"
"0","0.4330554991960526","0.4330554991960526","0.4330554991960526","0.4330554991960526","0.4330554991960526","0.4330554991960526"
"198","0.4877689123153687","0.4877689123153687","0.4877689123153687","0.4734032452106476","0.4734032452106476","0.4734032452106476"
"396","0.4857373207807541","0.4857373207807541","0.4857373207807541","0.4740474075078964","0.4740474075078964","0.4740474075078964"
"594","0.4848448932170868","0.4848448932170868","0.4848448932170868","0.47525033354759216","0.47525033354759216","0.47525033354759216"
"792","0.48424440026283266","0.48424440026283266","0.48424440026283266","0.4762945085763931","0.4762945085763931","0.4762945085763931"
"990","0.4838944137096405","0.4838944137096405","0.4838944137096405","0.4777985095977783","0.4777985095977783","0.4777985095977783"
"1188","0.4830905258655548","0.4830905258655548","0.4830905258655548","0.47815276980400084","0.47815276980400084","0.47815276980400084"
"1386","0.48255411386489866","0.48255411386489866","0.48255411386489866","0.47897067070007326","0.47897067070007326","0.47897067070007326"
"1584","0.48174474835395814","0.48174474835395814","0.48174474835395814","0.47923141419887544","0.47923141419887544","0.47923141419887544"
"1782","0.4810743033885956","0.4810743033885956","0.4810743033885956","0.4799945056438446","0.4799945056438446","0.4799945056438446"
"1980","0.4802602082490921","0.4802602082490921","0.4802602082490921","0.48056323230266573","0.48056323230266573","0.48056323230266573"
"2178","0.4798947274684906","0.4798947274684906","0.4798947274684906","0.48073050379753113","0.48073050379753113","0.48073050379753113"
"2376","0.4796634167432785","0.4796634167432785","0.4796634167432785","0.4811821788549423","0.4811821788549423","0.4811821788549423"
"2574","0.47950040102005004","0.47950040102005004","0.47950040102005004","0.4818880885839462","0.4818880885839462","0.4818880885839462"
"2772","0.47901359498500823","0.47901359498500823","0.47901359498500823","0.482134747505188","0.482134747505188","0.482134747505188"
"2970","0.4790161460638046","0.4790161460638046","0.4790161460638046","0.48210454285144805","0.48210454285144805","0.48210454285144805"
"3168","0.47884138822555544","0.47884138822555544","0.47884138822555544","0.4825554579496384","0.4825554579496384","0.4825554579496384"
"3366","0.478704571723938","0.478704571723938","0.478704571723938","0.4829419434070587","0.4829419434070587","0.4829419434070587"
"3564","0.4786763101816177","0.4786763101816177","0.4786763101816177","0.4830772250890732","0.4830772250890732","0.4830772250890732"
"3762","0.4784678280353546","0.4784678280353546","0.4784678280353546","0.4831764787435532","0.4831764787435532","0.4831764787435532"
"3960","0.4785244017839432","0.4785244017839432","0.4785244017839432","0.4831207424402237","0.4831207424402237","0.4831207424402237"
"4158","0.4784446328878403","0.4784446328878403","0.4784446328878403","0.4834032624959946","0.4834032624959946","0.4834032624959946"
"4356","0.4782208263874054","0.4782208263874054","0.4782208263874054","0.48360422253608704","0.48360422253608704","0.48360422253608704"
"4554","0.47805854976177214","0.47805854976177214","0.47805854976177214","0.48350529968738554","0.48350529968738554","0.48350529968738554"
"4752","0.47800253629684447","0.47800253629684447","0.47800253629684447","0.4838328868150711","0.4838328868150711","0.4838328868150711"
"4950","0.4779367566108704","0.4779367566108704","0.4779367566108704","0.48355053663253783","0.48355053663253783","0.48355053663253783"
"5148","0.47763173282146454","0.47763173282146454","0.47763173282146454","0.4837404191493988","0.4837404191493988","0.4837404191493988"
"5346","0.47762190401554105","0.47762190401554105","0.47762190401554105","0.4837059199810028","0.4837059199810028","0.4837059199810028"
"5544","0.47746949195861815","0.47746949195861815","0.47746949195861815","0.48386373817920686","0.48386373817920686","0.48386373817920686"
"5742","0.4774423331022263","0.4774423331022263","0.4774423331022263","0.4839321434497833","0.4839321434497833","0.4839321434497833"
"5940","0.47726544737815857","0.47726544737815857","0.47726544737815857","0.4840402573347092","0.4840402573347092","0.4840402573347092"
"6138","0.47738830745220184","0.47738830745220184","0.47738830745220184","0.48447701036930085","0.48447701036930085","0.48447701036930085"
"6336","0.47718041241168974","0.47718041241168974","0.47718041241168974","0.484428346157074","0.484428346157074","0.484428346157074"
"6534","0.47672286331653596","0.47672286331653596","0.47672286331653596","0.48441905677318575","0.48441905677318575","0.48441905677318575"
"6732","0.4768867135047913","0.4768867135047913","0.4768867135047913","0.4843671262264252","0.4843671262264252","0.4843671262264252"
"6930","0.4770141452550888","0.4770141452550888","0.4770141452550888","0.4844049096107483","0.4844049096107483","0.4844049096107483"
"7128","0.476640921831131","0.476640921831131","0.476640921831131","0.48452433943748474","0.48452433943748474","0.48452433943748474"
"7326","0.47646722197532654","0.47646722197532654","0.47646722197532654","0.48476227521896365","0.48476227521896365","0.48476227521896365"
"7524","0.47630497217178347","0.47630497217178347","0.47630497217178347","0.4847454488277435","0.4847454488277435","0.4847454488277435"
"7722","0.4763022243976593","0.4763022243976593","0.4763022243976593","0.4848222374916077","0.4848222374916077","0.4848222374916077"
"7920","0.47614540755748747","0.47614540755748747","0.47614540755748747","0.48504371047019956","0.48504371047019956","0.48504371047019956"
"8118","0.4761535733938217","0.4761535733938217","0.4761535733938217","0.48503648340702055","0.48503648340702055","0.48503648340702055"
"8316","0.47615783512592313","0.47615783512592313","0.47615783512592313","0.4850737422704697","0.4850737422704697","0.4850737422704697"
"8514","0.47616173028945924","0.47616173028945924","0.47616173028945924","0.48512586355209353","0.48512586355209353","0.48512586355209353"
"8712","0.4761648803949356","0.4761648803949356","0.4761648803949356","0.4851571202278137","0.4851571202278137","0.4851571202278137"
"8910","0.4761678397655487","0.4761678397655487","0.4761678397655487","0.485199835896492","0.485199835896492","0.485199835896492"
"9108","0.4761717915534973","0.4761717915534973","0.4761717915534973","0.48524447679519656","0.48524447679519656","0.48524447679519656"
"9306","0.4761734247207642","0.4761734247207642","0.4761734247207642","0.4852742224931717","0.4852742224931717","0.4852742224931717"
"9504","0.47617508471012115","0.47617508471012115","0.47617508471012115","0.48529103100299836","0.48529103100299836","0.48529103100299836"
"9702","0.47617727518081665","0.47617727518081665","0.47617727518081665","0.48532767295837403","0.48532767295837403","0.48532767295837403"
"9900","0.47617715001106264","0.47617715001106264","0.47617715001106264","0.48536489307880404","0.48536489307880404","0.48536489307880404"
"10098","0.4761793315410614","0.4761793315410614","0.4761793315410614","0.48539775907993316","0.48539775907993316","0.48539775907993316"
"10296","0.4761816143989563","0.4761816143989563","0.4761816143989563","0.4854223608970642","0.4854223608970642","0.4854223608970642"
"10494","0.4761840611696243","0.4761840611696243","0.4761840611696243","0.48545611202716826","0.48545611202716826","0.48545611202716826"
"10692","0.4761871576309204","0.4761871576309204","0.4761871576309204","0.4854759037494659","0.4854759037494659","0.4854759037494659"
"10890","0.4761890649795532","0.4761890649795532","0.4761890649795532","0.4855073481798172","0.4855073481798172","0.4855073481798172"
"11088","0.4761915922164917","0.4761915922164917","0.4761915922164917","0.48553759753704073","0.48553759753704073","0.48553759753704073"
